"filename", "language", "XML", "JSON", "YAML", "MS SQL", "Java Properties", "Batch", "Java", "comment", "blank", "total"
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\ResearchPaperResponse.java", "Java", 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\ResendVerificationTokenRequest.java", "Java", 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\ResetPasswordRequest.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\UpdateCollectionRequest.java", "Java", 0, 0, 0, 0, 0, 0, 3, 0, 2, 5
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\UpdatePaperRequest.java", "Java", 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\UpdateProfileRequest.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\UserIdentityResponse.java", "Java", 0, 0, 0, 0, 0, 0, 9, 0, 3, 12
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\UserProfileResponse.java", "Java", 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\UserSessionResponse.java", "Java", 0, 0, 0, 0, 0, 0, 11, 0, 3, 14
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\ChatSessionNotFoundException.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\CitationNotFoundException.java", "Java", 0, 0, 0, 0, 0, 0, 7, 0, 3, 10
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\EmailAlreadyExistsException.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\EmailNotVerifiedException.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\EmbeddingServiceException.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\FailedToCreatePaperChunks.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\FailedToCreatePaperSummary.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\GoogleIdTokenNotValidException.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\InvalidCredentialsException.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\RefreshTokenNotFoundException.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\ResearchCollectionNotFoundException.java", "Java", 0, 0, 0, 0, 0, 0, 7, 0, 3, 10
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\ResearchPaperNotFoundException.java", "Java", 0, 0, 0, 0, 0, 0, 7, 0, 3, 10
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\ResearchSummaryNotFoundException.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\UserIdentityAlreadyExistsException.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\UserNameAlreadyExistsException.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\UserNotFoundException.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Helper\HashUtil.java", "Java", 0, 0, 0, 0, 0, 0, 21, 0, 4, 25
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\client\EmbeddingServiceClient.java", "Java", 0, 0, 0, 0, 0, 0, 55, 8, 14, 77
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\config\GeminiConfig.java", "Java", 0, 0, 0, 0, 0, 0, 17, 0, 6, 23
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\config\GlobalExceptionHandler.java", "Java", 0, 0, 0, 0, 0, 0, 79, 0, 19, 98
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\config\GoogleProperties.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\config\JwtConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 62, 1, 11, 74
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\config\SecurityConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 66, 0, 10, 76
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\controller\AuthController.java", "Java", 0, 0, 0, 0, 0, 0, 115, 0, 21, 136
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\controller\CitationController.java", "Java", 0, 0, 0, 0, 0, 0, 52, 0, 9, 61
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\controller\CollectionsController.java", "Java", 0, 0, 0, 0, 0, 0, 102, 0, 14, 116
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\controller\HarvestController.java", "Java", 0, 0, 0, 0, 0, 0, 17, 0, 6, 23
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\controller\HealthController.java", "Java", 0, 0, 0, 0, 0, 0, 16, 0, 6, 22
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\controller\PaperChatController.java", "Java", 0, 0, 0, 0, 0, 0, 70, 0, 11, 81
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\controller\PapersController.java", "Java", 0, 0, 0, 0, 0, 0, 147, 0, 20, 167
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\controller\RestExceptionHandler.java", "Java", 0, 0, 0, 0, 0, 0, 22, 0, 7, 29
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\controller\UserController.java", "Java", 0, 0, 0, 0, 0, 0, 132, 0, 19, 151
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\AuthProviders.java", "Java", 0, 0, 0, 0, 0, 0, 7, 0, 2, 9
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\AuthToken.java", "Java", 0, 0, 0, 0, 0, 0, 43, 0, 12, 55
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\AuthTokenTypes.java", "Java", 0, 0, 0, 0, 0, 0, 9, 1, 3, 13
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\Author.java", "Java", 0, 0, 0, 0, 0, 0, 33, 0, 6, 39
