Date : 2026-07-16 11:22:39
Directory : d:\spring_projects\anveshak\backend
Total : 296 files,  10973 codes, 134 comments, 1609 blanks, all 12716 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\CollectionPaperRequest.class                   | Java            |          9 |          0 |          0 |          9 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\EmbedRequest.class                             | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\EmbedResponse.class                            | Java            |          9 |          0 |          0 |          9 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\ErrorResponse.class                            | Java            |          9 |          0 |          0 |          9 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\ForgotPasswordRequest.class                    | Java            |         12 |          0 |          0 |         12 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\GlobalPaperDTO.class                           | Java            |         76 |          0 |          0 |         76 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\GoogleLoginRequest.class                       | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\HarvestResult.class                            | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\InnerPaperSummaryDTO.class                     | Java            |         11 |          0 |          0 |         11 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\LiteratureReview.class                         | Java            |          9 |          0 |          0 |          9 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\LiteratureReviewRequest.class                  | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\LiteratureReviewResponse.class                 | Java            |         11 |          0 |          0 |         11 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\LoginRequest.class                             | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\NewChatSessionRequest.class                    | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\NewCitationRequest.class                       | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\NewCollectionRequest.class                     | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\NewPaperRequest.class                          | Java            |          9 |          0 |          0 |          9 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\PaperChunkDTO.class                            | Java            |         12 |          0 |          0 |         12 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\PaperComparison.class                          | Java            |         12 |          0 |          0 |         12 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\PaperComparisonRequest.class                   | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\PaperComparisonResponse.class                  | Java            |         11 |          0 |          0 |         11 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\PaperLookupRequest.class                       | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\PaperSearchRequest.class                       | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\PaperSummaryResponse.class                     | Java            |         11 |          0 |          0 |         11 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\RefreshTokenRequest.class                      | Java            |          9 |          0 |          0 |          9 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\RegisterRequest.class                          | Java            |         17 |          0 |          0 |         17 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\ResearchCollectionResponse.class               | Java            |          9 |          0 |          0 |          9 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\ResearchPaperResponse.class                    | Java            |         12 |          0 |          0 |         12 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\ResendVerificationTokenRequest.class           | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\ResetPasswordRequest.class                     | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\UpdateCollectionRequest.class                  | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\UpdatePaperRequest.class                       | Java            |          9 |          0 |          0 |          9 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\UpdateProfileRequest.class                     | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\UserIdentityResponse.class                     | Java            |          9 |          0 |          0 |          9 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\UserProfileResponse.class                      | Java            |         11 |          0 |          0 |         11 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\UserSessionResponse.class                      | Java            |         11 |          0 |          0 |         11 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\Exception\ChatSessionNotFoundException.class        | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\Exception\CitationNotFoundException.class           | Java            |         11 |          0 |          0 |         11 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\Exception\EmailAlreadyExistsException.class         | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\Exception\EmailNotVerifiedException.class           | Java            |          6 |          0 |          0 |          6 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\Exception\EmbeddingServiceException.class           | Java            |          6 |          0 |          0 |          6 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\Exception\FailedToCreatePaperChunks.class           | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\Exception\FailedToCreatePaperSummary.class          | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\Exception\GoogleIdTokenNotValidException.class      | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\Exception\InvalidCredentialsException.class         | Java            |          6 |          0 |          0 |          6 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\Exception\RefreshTokenNotFoundException.class       | Java            |          8 |          0 |          0 |          8 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\Exception\ResearchCollectionNotFoundException.class | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\Exception\ResearchPaperNotFoundException.class      | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\Exception\ResearchSummaryNotFoundException.class    | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\Exception\UserIdentityAlreadyExistsException.class  | Java            |          8 |          0 |          0 |          8 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\Exception\UserNameAlreadyExistsException.class      | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\Exception\UserNotFoundException.class               | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\Helper\HashUtil.class                               | Java            |         24 |          0 |          0 |         24 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\client\EmbeddingServiceClient$1.class               | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\client\EmbeddingServiceClient.class                 | Java            |         22 |          0 |          0 |         22 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\config\GeminiConfig.class                           | Java            |         11 |          0 |          0 |         11 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\config\GlobalExceptionHandler.class                 | Java            |         26 |          0 |          0 |         26 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\config\GoogleProperties.class                       | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\config\JwtConfiguration.class                       | Java            |         43 |          0 |          0 |         43 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\config\SecurityConfiguration.class                  | Java            |         23 |         38 |          0 |         61 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\controller\AuthController.class                     | Java            |         48 |          0 |          0 |         48 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\controller\CitationController.class                 | Java            |         24 |          0 |          0 |         24 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\controller\CollectionsController.class              | Java            |         35 |          0 |          0 |         35 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\controller\HarvestController.class                  | Java            |         13 |          0 |          0 |         13 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\controller\HealthController.class                   | Java            |          7 |          0 |          0 |          7 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\controller\PaperChatController.class                | Java            |         30 |          0 |          0 |         30 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\controller\PapersController.class                   | Java            |         48 |          0 |          0 |         48 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\controller\RestExceptionHandler.class               | Java            |         19 |          0 |          0 |         19 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\controller\UserController.class                     | Java            |         68 |          0 |          0 |         68 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\model\AuthProviders.class                           | Java            |          9 |          0 |          0 |          9 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\model\AuthToken.class                               | Java            |         16 |          0 |          0 |         16 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\model\AuthTokenTypes.class                          | Java            |         11 |          0 |          0 |         11 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\model\Author.class                                  | Java            |         18 |          0 |          0 |         18 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\model\ChatMessage.class                             | Java            |         21 |          0 |          0 |         21 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\model\ChatSession.class                             | Java            |         16 |          0 |          0 |         16 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\model\GlobalPaper.class                             | Java            |         61 |          0 |          0 |         61 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\model\Keyword.class                                 | Java            |         20 |          0 |          0 |         20 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\model\ModelRole.class                               | Java            |         11 |          0 |          0 |         11 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\model\PaperChunk.class                              | Java            |         26 |          0 |          0 |         26 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\model\PaperCitation.class                           | Java            |         17 |          0 |          0 |         17 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\model\PaperSummary.class                            | Java            |         19 |          0 |          0 |         19 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\model\RefreshToken.class                            | Java            |         21 |          0 |          0 |         21 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\model\ResearchCollection.class                      | Java            |         26 |          0 |          0 |         26 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\model\ResearchPaper.class                           | Java            |         26 |          0 |          0 |         26 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\model\User.class                                    | Java            |         18 |          0 |          0 |         18 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\model\UserIdentity.class                            | Java            |         29 |          0 |          0 |         29 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\repository\AuthTokenRepository.class                | Java            |          5 |          0 |          0 |          5 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\repository\AuthorRepository.class                   | Java            |          4 |          0 |          0 |          4 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\repository\ChatMessageRepository.class              | Java            |          7 |          0 |          0 |          7 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\repository\ChatSessionRepository.class              | Java            |          4 |          0 |          0 |          4 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\repository\CitiationRepository.class                | Java            |          6 |          0 |          0 |          6 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\repository\GlobalPaperRepository.class              | Java            |          9 |          0 |          0 |          9 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\repository\KeywordRepository.class                  | Java            |          4 |          0 |          0 |          4 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\repository\PaperChunkRepository.class               | Java            |         12 |          0 |          0 |         12 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\repository\PaperSummaryRepository.class             | Java            |          2 |          0 |          1 |          3 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\repository\RefreshTokenRepository.class             | Java            |          8 |          0 |          0 |          8 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\repository\ResearchCollectionRepository.class       | Java            |          5 |          0 |          0 |          5 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\repository\ResearchPaperRepository.class            | Java            |         12 |          0 |          0 |         12 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\repository\UserIdentityRepository.class             | Java            |          7 |          0 |          0 |          7 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\repository\UserRepository.class                     | Java            |          8 |          0 |          0 |          8 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\AuthMailService.class                       | Java            |         20 |          0 |          0 |         20 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\AuthService.class                           | Java            |         80 |          0 |          0 |         80 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\AuthTokenService.class                      | Java            |         35 |          0 |          0 |         35 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\CitationService.class                       | Java            |         59 |          0 |          0 |         59 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\CurrentUserResolver.class                   | Java            |         21 |          0 |          0 |         21 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\EmailSenderService.class                    | Java            |         30 |          0 |          0 |         30 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\FileStorageService.class                    | Java            |          8 |          0 |          0 |          8 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\GeminiService.class                         | Java            |         34 |          0 |          2 |         36 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\GlobalPaperService.class                    | Java            |        100 |          0 |          2 |        102 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\GoogleTokenVerifier.class                   | Java            |         24 |          0 |          0 |         24 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\JwtService.class                            | Java            |         38 |          0 |          0 |         38 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\PaperChatService.class                      | Java            |         74 |          0 |          1 |         75 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\PaperChunkService.class                     | Java            |         49 |          0 |          0 |         49 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\PaperComparisonService.class                | Java            |         21 |          0 |          0 |         21 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\PaperSummaryService.class                   | Java            |         87 |          0 |          0 |         87 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\PdfService.class                            | Java            |         34 |          0 |          0 |         34 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\PromptService.class                         | Java            |         95 |          0 |         15 |        110 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\RefreshTokenService.class                   | Java            |         56 |          0 |          0 |         56 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\ResearchCollectionService.class             | Java            |         66 |          0 |          0 |         66 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\ResearchPaperService.class                  | Java            |        151 |          0 |          0 |        151 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\ResearchSummaryService.class                | Java            |          5 |          0 |          0 |          5 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\SupabaseFileStoreService.class              | Java            |         51 |          0 |          0 |         51 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\UserIdentityService.class                   | Java            |         50 |          0 |          0 |         50 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\UserService.class                           | Java            |         66 |          0 |          0 |         66 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\service\XMLParser.class                             | Java            |         38 |          0 |          0 |         38 |
| d:\spring_projects\anveshak\backend\target\classes\db\migration\V1__create_user.sql                                 | MS SQL          |         11 |          0 |          1 |         12 |
| d:\spring_projects\anveshak\backend\target\classes\db\migration\V2__create_refresh_token.sql                        | MS SQL          |         21 |          0 |          2 |         23 |
| d:\spring_projects\anveshak\backend\target\classes\db\migration\V3__create_auth_token.sql                           | MS SQL          |          9 |          0 |          1 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\db\migration\V4__research_papers.sql                             | MS SQL          |         53 |          0 |         11 |         64 |
| d:\spring_projects\anveshak\backend\target\classes\db\migration\V5__create_paper_chunk.sql                          | MS SQL          |         33 |          0 |          5 |         38 |
| d:\spring_projects\anveshak\backend\target\classes\db\migration\V6__create_paper_citations.sql                      | MS SQL          |          6 |          0 |          0 |          6 |
| d:\spring_projects\anveshak\backend\target\classes\db\migration\V7__update_embedding_size.sql                       | MS SQL          |          2 |          0 |          1 |          3 |
| d:\spring_projects\anveshak\backend\target\classes\db\migration\V8__global_papers.sql                               | MS SQL          |         23 |          0 |          4 |         27 |
| d:\spring_projects\anveshak\backend\target\classes\openapi.yml                                                      | YAML            |      1,280 |          0 |         72 |      1,352 |
| d:\spring_projects\anveshak\backend\target\test-classes\com\anveshak\AnveshakApplicationTest.class                  | Java            |          5 |          0 |          0 |          5 |
| d:\spring_projects\anveshak\backend\target\test-classes\com\anveshak\AuthServiceTest.class                          | Java            |         23 |          0 |          0 |         23 |
| Total                                                                                                               |                 |     10,973 |        134 |      1,609 |     12,716 |
+---------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
